,ID,Country,Place.Name,Post.Code,Latitude,Longitude,First.IP.Number,Last.IP.Number
75,75,GH,Accra,NA,5.55,-0.2167,700293376,700293887
76,76,GH,Accra,NA,5.55,-0.2167,700294144,700294783
77,77,GH,Accra,NA,5.55,-0.2167,700294912,700295167
78,78,GH,Accra,NA,5.55,-0.2167,700295424,700295679
79,79,GH,Accra,NA,5.55,-0.2167,700340224,700340811
80,80,GH,Accra,NA,5.55,-0.2167,700340813,700341247
81,81,GH,Accra,NA,5.55,-0.2167,701628416,701628479
82,82,GH,Accra,NA,5.55,-0.2167,701628672,701628927
83,83,GH,Accra,NA,5.55,-0.2167,701629440,701629695
84,84,GH,Accra,NA,5.55,-0.2167,701631232,701631487
85,85,GH,Accra,NA,5.55,-0.2167,701632512,701633023
86,86,GH,Accra,NA,5.55,-0.2167,701636736,701636863
87,87,GH,Accra,NA,5.55,-0.2167,701642752,701644799
88,88,GH,Accra,NA,5.55,-0.2167,701694976,701695999
89,89,GH,Accra,NA,5.55,-0.2167,701999616,701999654
90,90,GH,Accra,NA,5.55,-0.2167,701999656,701999672
91,91,GH,Accra,NA,5.55,-0.2167,701999674,701999973
92,92,GH,Accra,NA,5.55,-0.2167,701999975,701999999
93,93,GH,Accra,NA,5.55,-0.2167,702000384,702000639
94,94,GH,Accra,NA,5.55,-0.2167,702201856,702206207
95,95,GH,Accra,NA,5.55,-0.2167,702206592,702206655
96,96,GH,Accra,NA,5.55,-0.2167,702207104,702207231
97,97,GH,Accra,NA,5.55,-0.2167,702207264,702207279
98,98,GH,Accra,NA,5.55,-0.2167,702208000,702208255
99,99,GH,Accra,NA,5.55,-0.2167,702209408,702209471
100,100,GH,Accra,NA,5.55,-0.2167,702209536,702210047
101,101,GH,Accra,NA,5.55,-0.2167,702214400,702214655
102,102,GH,Accra,NA,5.55,-0.2167,702214784,702214911
103,103,GH,Accra,NA,5.55,-0.2167,702474240,702474751
104,104,GH,Accra,NA,5.55,-0.2167,702475008,702475263
105,105,GH,Accra,NA,5.55,-0.2167,703754240,703754249
106,106,GH,Accra,NA,5.55,-0.2167,703754251,703755263
107,107,GH,Accra,NA,5.55,-0.2167,703760384,703760895
108,108,GH,Accra,NA,5.55,-0.2167,1063748608,1063749119
109,109,GH,Accra,NA,5.55,-0.2167,1101869056,1101869567
110,110,GH,Accra,NA,5.55,-0.2167,1347293537,1347293544
111,111,GH,Accra,NA,5.55,-0.2167,1347895808,1347896319
112,112,GH,Accra,NA,5.55,-0.2167,1347896832,1347897343
113,113,GH,Accra,NA,5.55,-0.2167,1347900160,1347900415
114,114,GH,Accra,NA,5.55,-0.2167,1347902048,1347902079
115,115,GH,Accra,NA,5.55,-0.2167,1753485568,1753485823
116,116,DZ,Algiers,NA,36.7631,3.0506,694429184,694429439
117,117,DZ,Algiers,NA,36.7631,3.0506,694617088,694618111
118,118,DZ,Algiers,NA,36.7631,3.0506,694711296,694712319
119,119,DZ,Algiers,NA,36.7631,3.0506,694955008,694956031
120,120,DZ,Algiers,NA,36.7631,3.0506,694984704,694985727
121,121,DZ,Algiers,NA,36.7631,3.0506,695003136,695004159
122,122,DZ,Algiers,NA,36.7631,3.0506,695018496,695019007
123,123,DZ,Algiers,NA,36.7631,3.0506,695023616,695024127
124,124,DZ,Algiers,NA,36.7631,3.0506,695062528,695063039
125,125,DZ,Algiers,NA,36.7631,3.0506,695066624,695067135
126,126,DZ,Algiers,NA,36.7631,3.0506,695162880,695163903
127,127,DZ,Algiers,NA,36.7631,3.0506,758886656,758886672
128,128,DZ,Algiers,NA,36.7631,3.0506,758886674,758886708
129,129,DZ,Algiers,NA,36.7631,3.0506,758886710,758886723
130,130,DZ,Algiers,NA,36.7631,3.0506,758886725,758886758
131,131,DZ,Algiers,NA,36.7631,3.0506,758886760,758886867
132,132,DZ,Algiers,NA,36.7631,3.0506,758886869,758886885
133,133,DZ,Algiers,NA,36.7631,3.0506,758886887,758886911
134,134,DZ,Algiers,NA,36.7631,3.0506,1358513664,1358514943
135,135,DZ,Algiers,NA,36.7631,3.0506,1767950336,1767952383
136,136,DZ,Algiers,NA,36.7631,3.0506,1767956480,1767958527
137,137,DZ,Algiers,NA,36.7631,3.0506,1767960576,1767965183
138,138,DZ,Algiers,NA,36.7631,3.0506,1768030208,1768032255
139,139,DZ,Algiers,NA,36.7631,3.0506,1768032512,1768032767
140,140,DZ,Algiers,NA,36.7631,3.0506,1768034048,1768038399
141,141,DZ,Algiers,NA,36.7631,3.0506,1768038912,1768039423
142,142,DZ,Algiers,NA,36.7631,3.0506,1768044544,1768045567
143,143,DZ,Algiers,NA,36.7631,3.0506,1768047616,1768048639
144,144,DZ,Algiers,NA,36.7631,3.0506,1768049664,1768050687
145,145,DZ,Algiers,NA,36.7631,3.0506,1768051200,1768051711
146,146,DZ,Algiers,NA,36.7631,3.0506,1768053248,1768053759
147,147,DZ,Algiers,NA,36.7631,3.0506,1768057856,1768058367
148,148,DZ,Algiers,NA,36.7631,3.0506,1768058880,1768059903
149,149,DZ,Algiers,NA,36.7631,3.0506,1768061952,1768062975
150,150,DZ,Algiers,NA,36.7631,3.0506,1768063488,1768067071
151,151,DZ,Algiers,NA,36.7631,3.0506,1768069120,1768073215
152,152,DZ,Algiers,NA,36.7631,3.0506,1768075264,1768077311
153,153,DZ,Algiers,NA,36.7631,3.0506,1768078848,1768079103
154,154,DZ,Algiers,NA,36.7631,3.0506,1768079360,1768083455
155,155,DZ,Algiers,NA,36.7631,3.0506,1768084736,1768084991
156,156,DZ,Algiers,NA,36.7631,3.0506,1768096512,1768096767
157,157,DZ,Algiers,NA,36.7631,3.0506,1768145920,1768146943
158,158,DZ,Algiers,NA,36.7631,3.0506,1768147456,1768148991
159,159,DZ,Algiers,NA,36.7631,3.0506,1768164608,1768164863
160,160,DZ,Algiers,NA,36.7631,3.0506,1768166144,1768166399
161,161,DZ,Algiers,NA,36.7631,3.0506,1768167424,1768168447
162,162,DZ,Algiers,NA,36.7631,3.0506,1768169472,1768172031
163,163,DZ,Algiers,NA,36.7631,3.0506,1768172544,1768173567
164,164,DZ,Algiers,NA,36.7631,3.0506,1768174080,1768174591
165,165,DZ,Algiers,NA,36.7631,3.0506,1768175104,1768175615
166,166,DZ,Algiers,NA,36.7631,3.0506,1768176384,1768176639
167,167,DZ,Algiers,NA,36.7631,3.0506,1768177664,1768182271
168,168,DZ,Algiers,NA,36.7631,3.0506,1768185856,1768194047
169,169,DZ,Algiers,NA,36.7631,3.0506,1768228224,1768228351
170,170,DZ,Algiers,NA,36.7631,3.0506,1768232960,1768233983
171,171,DZ,Algiers,NA,36.7631,3.0506,1768234496,1768235007
172,172,DZ,Algiers,NA,36.7631,3.0506,1768237056,1768237567
173,173,DZ,Algiers,NA,36.7631,3.0506,1768241152,1768241407
174,174,DZ,Algiers,NA,36.7631,3.0506,1768241664,1768242175
175,175,DZ,Algiers,NA,36.7631,3.0506,1768244224,1768244351
176,176,DZ,Algiers,NA,36.7631,3.0506,1768244736,1768246015
177,177,DZ,Algiers,NA,36.7631,3.0506,1768249344,1768251903
178,178,DZ,Algiers,NA,36.7631,3.0506,1768252160,1768252927
179,179,DZ,Algiers,NA,36.7631,3.0506,1768253440,1768253951
180,180,DZ,Algiers,NA,36.7631,3.0506,1768254720,1768254975
181,181,DZ,Algiers,NA,36.7631,3.0506,1768255488,1768257535
182,182,DZ,Algiers,NA,36.7631,3.0506,1768265728,1768266751
183,183,DZ,Algiers,NA,36.7631,3.0506,1768271616,1768272895
184,184,DZ,Algiers,NA,36.7631,3.0506,1768273408,1768274687
185,185,DZ,Algiers,NA,36.7631,3.0506,1768275712,1768278015
186,186,DZ,Algiers,NA,36.7631,3.0506,1768278272,1768278527
187,187,DZ,Algiers,NA,36.7631,3.0506,1768293376,1768294399
188,188,DZ,Algiers,NA,36.7631,3.0506,1768304640,1768310783
189,189,DZ,Algiers,NA,36.7631,3.0506,1768311808,1768312831
190,190,DZ,Algiers,NA,36.7631,3.0506,1768315904,1768316927
191,191,DZ,Algiers,NA,36.7631,3.0506,1768327168,1768328447
192,192,DZ,Algiers,NA,36.7631,3.0506,1768329600,1768329727
193,193,DZ,Algiers,NA,36.7631,3.0506,1768330240,1768331263
194,194,DZ,Algiers,NA,36.7631,3.0506,1768332288,1768333311
195,195,DZ,Algiers,NA,36.7631,3.0506,1768335360,1768337407
196,196,DZ,Algiers,NA,36.7631,3.0506,1768339456,1768339711
197,197,DZ,Algiers,NA,36.7631,3.0506,1768339968,1768340479
198,198,DZ,Algiers,NA,36.7631,3.0506,1768343040,1768343551
199,199,DZ,Algiers,NA,36.7631,3.0506,1768346112,1768346623
